Day,Hour,Subject,Faculty,Class_Held,Faculty_Present
Monday,0,E,F1,1,1
Monday,1,CI,F2,1,0
Monday,2,Math,F3,1,1
Monday,3,L1,F8,1,0
Tuesday,0,COD,F4,1,0
Tuesday,1,CI,F2,1,1
Tuesday,2,Math,F3,1,0
Tuesday,3,L2,F9,1,1
Wednesday,0,Math,F3,1,0
Wednesday,1,DB,F5,1,1
Wednesday,2,COD,F4,1,1
Wednesday,3,OS,F6,1,0
Wednesday,4,Minor,F7,1,0
Wednesday,5,Minor,F7,1,0
Thursday,0,COD,F4,1,1
Thursday,1,OS,F6,1,1
Thursday,2,OS,F6,1,1
Thursday,3,Math,F3,1,0
Thursday,4,CI,F2,1,1
Friday,0,DB,F5,1,1
Friday,1,DB,F5,1,1
Friday,2,OS,F6,1,0
Friday,3,E,F1,1,0
Friday,4,COD,F4,1,0
Friday,5,Minor,F7,1,1
Monday,0,E,F1,1,1
Monday,1,CI,F2,1,1
Monday,2,Math,F3,1,0
Monday,3,L1,F8,1,0
Tuesday,0,COD,F4,1,1
Tuesday,1,CI,F2,1,1
Tuesday,2,Math,F3,1,1
Tuesday,3,L2,F9,1,0
Wednesday,0,Math,F3,1,1
Wednesday,1,DB,F5,1,1
Wednesday,2,COD,F4,1,1
Wednesday,3,OS,F6,1,0
Wednesday,4,Minor,F7,1,0
Wednesday,5,Minor,F7,1,0
Thursday,0,COD,F4,1,1
Thursday,1,OS,F6,1,0
Thursday,2,OS,F6,1,1
Thursday,3,Math,F3,1,1
Thursday,4,CI,F2,1,1
Friday,0,DB,F5,1,0
Friday,1,DB,F5,1,0
Friday,2,OS,F6,1,0
Friday,3,E,F1,1,1
Friday,4,COD,F4,1,1
Friday,5,Minor,F7,1,1
Monday,0,E,F1,1,0
Monday,1,CI,F2,1,1
Monday,2,Math,F3,1,0
Monday,3,L1,F8,1,1
Tuesday,0,COD,F4,1,1
Tuesday,1,CI,F2,1,1
Tuesday,2,Math,F3,1,0
Tuesday,3,L2,F9,1,1
Wednesday,0,Math,F3,1,0
Wednesday,1,DB,F5,1,1
Wednesday,2,COD,F4,1,1
Wednesday,3,OS,F6,1,1
Wednesday,4,Minor,F7,1,0
Wednesday,5,Minor,F7,1,1
Thursday,0,COD,F4,1,0
Thursday,1,OS,F6,1,0
Thursday,2,OS,F6,1,1
Thursday,3,Math,F3,1,1
Thursday,4,CI,F2,1,0
Friday,0,DB,F5,1,0
Friday,1,DB,F5,1,0
Friday,2,OS,F6,1,0
Friday,3,E,F1,1,1
Friday,4,COD,F4,1,0
Friday,5,Minor,F7,1,1
Monday,0,E,F1,1,1
Monday,1,CI,F2,1,0
Monday,2,Math,F3,1,1
Monday,3,L1,F8,1,1
Tuesday,0,COD,F4,1,0
Tuesday,1,CI,F2,1,0
Tuesday,2,Math,F3,1,1
Tuesday,3,L2,F9,1,0
Wednesday,0,Math,F3,1,0
Wednesday,1,DB,F5,1,1
Wednesday,2,COD,F4,1,0
Wednesday,3,OS,F6,1,0
Wednesday,4,Minor,F7,1,0
Wednesday,5,Minor,F7,1,1
Thursday,0,COD,F4,1,0
Thursday,1,OS,F6,1,0
Thursday,2,OS,F6,1,1
Thursday,3,Math,F3,1,1
Thursday,4,CI,F2,1,1
Friday,0,DB,F5,1,0
Friday,1,DB,F5,1,0
Friday,2,OS,F6,1,0
Friday,3,E,F1,1,1
Friday,4,COD,F4,1,1
Friday,5,Minor,F7,1,1
